train,test,sub,acc
mem,mixed,MSC03,0.6
mem,mixed,MSC03,0.55
mem,mixed,MSC03,0.65
mem,mixed,MSC03,0.6
mem,mixed,MSC03,0.65
mem,mixed,MSC03,0.65
mem,motor,MSC03,0.85
mem,motor,MSC03,0.8
mem,motor,MSC03,0.85
mem,motor,MSC03,0.8
mem,motor,MSC03,0.9
mem,motor,MSC03,0.9
mem,motor,MSC03,0.95
mem,motor,MSC03,0.9
motor,mixed,MSC03,0.55
motor,mixed,MSC03,0.55
motor,mixed,MSC03,0.5
motor,mixed,MSC03,0.5
motor,mixed,MSC03,0.55
motor,mixed,MSC03,0.55
motor,mixed,MSC03,0.55
motor,mixed,MSC03,0.55
motor,mixed,MSC03,0.6
motor,mixed,MSC03,0.55
motor,mem,MSC03,0.5625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.5625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.625
motor,mem,MSC03,0.5625
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,0.95
mixed,mem,MSC04,1.0
mixed,mem,MSC04,1.0
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mixed,motor,MSC04,0.95
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.95
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.9
mem,mixed,MSC04,0.95
mem,mixed,MSC04,0.95
mem,motor,MSC04,0.95
mem,motor,MSC04,0.9
mem,motor,MSC04,0.9
mem,motor,MSC04,0.9
mem,motor,MSC04,0.9
mem,motor,MSC04,0.9
mem,motor,MSC04,0.85
mem,motor,MSC04,0.85
mem,motor,MSC04,0.9
mem,motor,MSC04,0.95
motor,mixed,MSC04,0.6
motor,mixed,MSC04,0.6
motor,mixed,MSC04,0.6
motor,mixed,MSC04,0.55
motor,mixed,MSC04,0.55
motor,mixed,MSC04,0.6
motor,mixed,MSC04,0.6
motor,mixed,MSC04,0.55
motor,mixed,MSC04,0.6
motor,mixed,MSC04,0.6
motor,mem,MSC04,0.75
motor,mem,MSC04,0.6
motor,mem,MSC04,0.7
motor,mem,MSC04,0.65
motor,mem,MSC04,0.65
motor,mem,MSC04,0.6
motor,mem,MSC04,0.7
motor,mem,MSC04,0.5
motor,mem,MSC04,0.6
motor,mem,MSC04,0.8
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,mem,MSC05,1.0
mixed,motor,MSC05,0.95
mixed,motor,MSC05,1.0
mixed,motor,MSC05,0.95
mixed,motor,MSC05,0.95
mixed,motor,MSC05,0.95
mixed,motor,MSC05,0.95
mixed,motor,MSC05,1.0
mixed,motor,MSC05,0.95
mixed,motor,MSC05,0.95
mixed,motor,MSC05,1.0
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.8
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,mixed,MSC05,0.85
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
mem,motor,MSC05,1.0
motor,mixed,MSC05,0.6
motor,mixed,MSC05,0.6
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mixed,MSC05,0.55
motor,mem,MSC05,0.95
motor,mem,MSC05,0.8
motor,mem,MSC05,0.75
motor,mem,MSC05,0.75
motor,mem,MSC05,0.75
motor,mem,MSC05,0.75
motor,mem,MSC05,0.8
motor,mem,MSC05,0.8
motor,mem,MSC05,0.75
motor,mem,MSC05,0.8
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,mem,MSC06,1.0
mixed,motor,MSC06,0.9444444444444444
mixed,motor,MSC06,0.9444444444444444
mixed,motor,MSC06,0.9444444444444444
mixed,motor,MSC06,0.9444444444444444
mixed,motor,MSC06,0.9444444444444444
mixed,motor,MSC06,0.9444444444444444
mixed,motor,MSC06,1.0
mixed,motor,MSC06,1.0
mixed,motor,MSC06,1.0
mixed,motor,MSC06,0.9444444444444444
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.8
mem,mixed,MSC06,0.75
mem,mixed,MSC06,0.75
mem,motor,MSC06,0.8888888888888888
mem,motor,MSC06,0.9444444444444444
mem,motor,MSC06,0.8888888888888888
mem,motor,MSC06,0.7777777777777778
mem,motor,MSC06,0.8888888888888888
mem,motor,MSC06,0.8888888888888888
mem,motor,MSC06,0.8888888888888888
mem,motor,MSC06,0.9444444444444444
mem,motor,MSC06,0.9444444444444444
mem,motor,MSC06,0.9444444444444444
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.5
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.55
motor,mixed,MSC06,0.55
motor,mem,MSC06,0.5
motor,mem,MSC06,0.55
motor,mem,MSC06,0.6
motor,mem,MSC06,0.55
motor,mem,MSC06,0.5
motor,mem,MSC06,0.55
motor,mem,MSC06,0.6
motor,mem,MSC06,0.6
motor,mem,MSC06,0.5
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.85
mixed,mem,MSC07,0.85
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.9
mixed,mem,MSC07,0.9
mixed,mem,MSC07,1.0
mixed,mem,MSC07,0.9
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.7777777777777778
mixed,motor,MSC07,0.8888888888888888
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.7777777777777778
mixed,motor,MSC07,0.8888888888888888
mixed,motor,MSC07,0.8333333333333334
mixed,motor,MSC07,0.8333333333333334
mem,mixed,MSC07,0.95
mem,mixed,MSC07,0.9
mem,mixed,MSC07,0.95
mem,mixed,MSC07,0.9
mem,mixed,MSC07,0.9
mem,mixed,MSC07,0.8
mem,mixed,MSC07,0.85
mem,mixed,MSC07,0.8
mem,mixed,MSC07,0.9
mem,mixed,MSC07,0.9
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.8333333333333334
mem,motor,MSC07,0.7222222222222222
mem,motor,MSC07,0.8333333333333334
mem,motor,MSC07,0.8333333333333334
mem,motor,MSC07,0.7777777777777778
motor,mixed,MSC07,0.55
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mixed,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
motor,mem,MSC07,0.5
mixed,mem,MSC10,1.0
mixed,mem,MSC10,0.95
mixed,mem,MSC10,1.0
mixed,mem,MSC10,1.0
mixed,mem,MSC10,0.95
mixed,mem,MSC10,0.95
mixed,mem,MSC10,0.95
mixed,mem,MSC10,0.95
mixed,mem,MSC10,0.95
mixed,mem,MSC10,0.95
mixed,motor,MSC10,0.95
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.95
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.85
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.9
mixed,motor,MSC10,0.95
mixed,motor,MSC10,0.85
mem,mixed,MSC10,0.85
mem,mixed,MSC10,0.85
mem,mixed,MSC10,0.9
mem,mixed,MSC10,0.8
mem,mixed,MSC10,0.75
mem,mixed,MSC10,0.8
mem,mixed,MSC10,0.8
mem,mixed,MSC10,0.8
mem,mixed,MSC10,0.8
mem,mixed,MSC10,0.8
mem,motor,MSC10,0.95
mem,motor,MSC10,0.9
mem,motor,MSC10,0.9
mem,motor,MSC10,0.9
mem,motor,MSC10,0.85
mem,motor,MSC10,0.95
mem,motor,MSC10,0.9
mem,motor,MSC10,0.95
mem,motor,MSC10,0.9
mem,motor,MSC10,0.9
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.55
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mixed,MSC10,0.5
motor,mem,MSC10,0.65
motor,mem,MSC10,0.65
motor,mem,MSC10,0.65
motor,mem,MSC10,0.6
motor,mem,MSC10,0.65
motor,mem,MSC10,0.65
motor,mem,MSC10,0.65
motor,mem,MSC10,0.65
motor,mem,MSC10,0.6
motor,mem,MSC10,0.6
