,Task,Accuracy,Features
7,mixed,0.8,50
8,motor,0.75,50
9,motor,0.95,50
10,motor,0.8,50
11,motor,0.8,50
12,motor,0.95,50
13,motor,0.85,50
14,motor,0.85,50
15,motor,0.7,50
16,mem,0.95,50
17,mem,0.85,50
18,mem,0.8,50
19,mem,0.9,50
20,mem,1.0,50
21,mem,0.85,50
22,mem,0.8,50
23,mem,0.55,50
0,mixed,0.85,60
1,mixed,0.8,60
2,mixed,0.85,60
3,mixed,1.0,60
4,mixed,0.9,60
5,mixed,0.8,60
6,mixed,0.9,60
7,mixed,0.95,60
8,motor,0.95,60
9,motor,0.85,60
10,motor,0.9,60
11,motor,0.95,60
12,motor,0.9,60
13,motor,0.95,60
14,motor,0.95,60
15,motor,0.95,60
16,mem,1.0,60
17,mem,0.95,60
18,mem,0.85,60
19,mem,0.95,60
20,mem,0.9,60
21,mem,0.95,60
22,mem,0.9,60
23,mem,0.85,60
0,mixed,0.9,70
1,mixed,0.85,70
2,mixed,0.95,70
3,mixed,0.95,70
4,mixed,1.0,70
5,mixed,0.85,70
6,mixed,1.0,70
7,mixed,0.7,70
8,motor,0.9,70
9,motor,0.95,70
10,motor,1.0,70
11,motor,0.9,70
12,motor,0.85,70
13,motor,0.85,70
14,motor,0.9,70
15,motor,0.85,70
16,mem,0.9,70
17,mem,0.95,70
18,mem,0.8,70
19,mem,0.85,70
20,mem,1.0,70
21,mem,0.85,70
22,mem,0.9,70
23,mem,0.9,70
0,mixed,0.95,80
1,mixed,0.9,80
2,mixed,0.95,80
3,mixed,0.9,80
4,mixed,0.95,80
5,mixed,0.95,80
6,mixed,0.95,80
7,mixed,0.95,80
8,motor,0.85,80
9,motor,0.85,80
10,motor,1.0,80
11,motor,0.9,80
12,motor,0.9,80
13,motor,1.0,80
14,motor,0.9,80
15,motor,0.95,80
16,mem,0.95,80
17,mem,0.95,80
18,mem,0.85,80
19,mem,0.95,80
20,mem,1.0,80
21,mem,0.9,80
22,mem,0.9,80
23,mem,0.9,80
0,mixed,0.95,90
1,mixed,1.0,90
2,mixed,0.9,90
3,mixed,0.9,90
4,mixed,0.95,90
5,mixed,0.9,90
6,mixed,0.95,90
7,mixed,0.85,90
8,motor,1.0,90
9,motor,0.9,90
10,motor,1.0,90
11,motor,0.9,90
12,motor,0.95,90
13,motor,0.9,90
14,motor,0.95,90
15,motor,1.0,90
16,mem,0.9,90
17,mem,1.0,90
18,mem,0.9,90
19,mem,1.0,90
20,mem,1.0,90
21,mem,0.95,90
22,mem,1.0,90
23,mem,0.8,90
0,mixed,0.85,100
1,mixed,0.85,100
2,mixed,0.9,100
3,mixed,0.9,100
4,mixed,0.8,100
5,mixed,0.75,100
6,mixed,0.95,100
7,mixed,0.95,100
8,motor,0.8,100
9,motor,0.85,100
10,motor,1.0,100
11,motor,0.85,100
12,motor,1.0,100
13,motor,0.9,100
14,motor,0.9,100
15,motor,0.95,100
16,mem,0.9,100
17,mem,0.9,100
18,mem,0.9,100
19,mem,0.95,100
20,mem,1.0,100
21,mem,0.95,100
22,mem,0.95,100
23,mem,1.0,100
0,mixed,0.95,200
1,mixed,1.0,200
2,mixed,1.0,200
3,mixed,0.95,200
4,mixed,0.9,200
5,mixed,0.95,200
6,mixed,1.0,200
7,mixed,0.95,200
8,motor,1.0,200
9,motor,0.85,200
10,motor,0.95,200
11,motor,0.9,200
12,motor,0.95,200
13,motor,0.95,200
14,motor,0.9,200
15,motor,0.95,200
16,mem,1.0,200
17,mem,0.9,200
18,mem,0.95,200
19,mem,1.0,200
20,mem,1.0,200
21,mem,0.95,200
22,mem,1.0,200
23,mem,0.95,200
0,mixed,0.95,300
1,mixed,0.95,300
2,mixed,0.95,300
3,mixed,1.0,300
4,mixed,1.0,300
5,mixed,1.0,300
6,mixed,1.0,300
7,mixed,0.9,300
8,motor,1.0,300
9,motor,0.95,300
10,motor,0.95,300
11,motor,1.0,300
12,motor,1.0,300
13,motor,1.0,300
14,motor,0.95,300
15,motor,0.95,300
16,mem,1.0,300
17,mem,1.0,300
18,mem,0.95,300
19,mem,1.0,300
20,mem,1.0,300
21,mem,1.0,300
22,mem,1.0,300
23,mem,1.0,300
0,mixed,0.95,400
1,mixed,0.9,400
2,mixed,1.0,400
3,mixed,0.95,400
4,mixed,1.0,400
5,mixed,0.95,400
6,mixed,1.0,400
7,mixed,0.95,400
8,motor,1.0,400
9,motor,0.95,400
10,motor,1.0,400
11,motor,0.95,400
12,motor,1.0,400
13,motor,1.0,400
14,motor,1.0,400
15,motor,0.95,400
16,mem,1.0,400
17,mem,1.0,400
18,mem,0.95,400
19,mem,1.0,400
20,mem,1.0,400
21,mem,1.0,400
22,mem,1.0,400
23,mem,0.95,400
0,mixed,0.95,500
1,mixed,0.85,500
2,mixed,1.0,500
3,mixed,1.0,500
4,mixed,1.0,500
5,mixed,1.0,500
6,mixed,1.0,500
7,mixed,0.9,500
8,motor,1.0,500
9,motor,0.9,500
10,motor,0.95,500
11,motor,1.0,500
12,motor,1.0,500
13,motor,1.0,500
14,motor,1.0,500
15,motor,0.95,500
16,mem,1.0,500
17,mem,0.95,500
18,mem,1.0,500
19,mem,1.0,500
20,mem,1.0,500
21,mem,1.0,500
22,mem,0.95,500
23,mem,0.95,500
0,mixed,0.95,1000
1,mixed,1.0,1000
2,mixed,1.0,1000
3,mixed,1.0,1000
4,mixed,0.95,1000
5,mixed,0.95,1000
6,mixed,1.0,1000
7,mixed,0.95,1000
8,motor,1.0,1000
9,motor,0.95,1000
10,motor,1.0,1000
11,motor,0.95,1000
12,motor,1.0,1000
13,motor,1.0,1000
14,motor,0.95,1000
15,motor,1.0,1000
16,mem,1.0,1000
17,mem,1.0,1000
18,mem,1.0,1000
19,mem,1.0,1000
20,mem,1.0,1000
21,mem,1.0,1000
22,mem,0.95,1000
23,mem,1.0,1000
0,mixed,0.95,1500
1,mixed,0.9,1500
2,mixed,1.0,1500
3,mixed,1.0,1500
4,mixed,1.0,1500
5,mixed,1.0,1500
6,mixed,1.0,1500
7,mixed,0.95,1500
8,motor,1.0,1500
9,motor,0.95,1500
10,motor,1.0,1500
11,motor,1.0,1500
12,motor,1.0,1500
13,motor,1.0,1500
14,motor,1.0,1500
15,motor,0.95,1500
16,mem,1.0,1500
17,mem,0.95,1500
18,mem,1.0,1500
19,mem,1.0,1500
20,mem,1.0,1500
21,mem,1.0,1500
22,mem,1.0,1500
23,mem,1.0,1500
0,mixed,0.95,2000
1,mixed,0.9,2000
2,mixed,1.0,2000
3,mixed,0.95,2000
4,mixed,1.0,2000
5,mixed,0.95,2000
6,mixed,1.0,2000
7,mixed,0.95,2000
8,motor,1.0,2000
9,motor,0.9,2000
10,motor,0.95,2000
11,motor,1.0,2000
12,motor,1.0,2000
13,motor,1.0,2000
14,motor,1.0,2000
15,motor,0.95,2000
16,mem,1.0,2000
17,mem,1.0,2000
18,mem,0.95,2000
19,mem,1.0,2000
20,mem,1.0,2000
21,mem,1.0,2000
22,mem,0.95,2000
23,mem,1.0,2000
0,mixed,0.95,2500
1,mixed,0.9,2500
2,mixed,1.0,2500
3,mixed,1.0,2500
4,mixed,1.0,2500
5,mixed,1.0,2500
6,mixed,1.0,2500
7,mixed,0.95,2500
8,motor,1.0,2500
9,motor,0.95,2500
10,motor,1.0,2500
11,motor,1.0,2500
12,motor,1.0,2500
13,motor,0.95,2500
14,motor,1.0,2500
15,motor,0.95,2500
16,mem,1.0,2500
17,mem,1.0,2500
18,mem,0.95,2500
19,mem,1.0,2500
20,mem,1.0,2500
21,mem,1.0,2500
22,mem,1.0,2500
23,mem,1.0,2500
0,mixed,0.95,3000
1,mixed,0.9,3000
2,mixed,1.0,3000
3,mixed,1.0,3000
4,mixed,1.0,3000
5,mixed,1.0,3000
6,mixed,1.0,3000
7,mixed,0.95,3000
8,motor,1.0,3000
9,motor,0.95,3000
10,motor,0.95,3000
11,motor,1.0,3000
12,motor,1.0,3000
13,motor,1.0,3000
14,motor,1.0,3000
15,motor,0.95,3000
16,mem,1.0,3000
17,mem,1.0,3000
18,mem,0.95,3000
19,mem,1.0,3000
20,mem,1.0,3000
21,mem,1.0,3000
22,mem,1.0,3000
23,mem,1.0,3000
0,mixed,0.95,4000
1,mixed,0.9,4000
2,mixed,1.0,4000
3,mixed,1.0,4000
4,mixed,1.0,4000
5,mixed,1.0,4000
6,mixed,1.0,4000
7,mixed,0.95,4000
8,motor,1.0,4000
9,motor,0.95,4000
10,motor,1.0,4000
11,motor,1.0,4000
12,motor,1.0,4000
13,motor,1.0,4000
14,motor,1.0,4000
15,motor,0.95,4000
16,mem,1.0,4000
17,mem,1.0,4000
18,mem,0.95,4000
19,mem,1.0,4000
20,mem,1.0,4000
21,mem,1.0,4000
22,mem,1.0,4000
23,mem,1.0,4000
0,mixed,0.95,5000
1,mixed,0.9,5000
2,mixed,1.0,5000
3,mixed,0.95,5000
4,mixed,1.0,5000
5,mixed,1.0,5000
6,mixed,1.0,5000
7,mixed,0.95,5000
8,motor,1.0,5000
9,motor,0.95,5000
10,motor,0.95,5000
11,motor,1.0,5000
12,motor,1.0,5000
13,motor,0.95,5000
14,motor,1.0,5000
15,motor,0.95,5000
16,mem,1.0,5000
17,mem,1.0,5000
18,mem,1.0,5000
19,mem,1.0,5000
20,mem,1.0,5000
21,mem,1.0,5000
22,mem,0.95,5000
23,mem,1.0,5000
0,mixed,0.95,10000
1,mixed,0.9,10000
2,mixed,1.0,10000
3,mixed,1.0,10000
4,mixed,1.0,10000
5,mixed,0.95,10000
6,mixed,1.0,10000
7,mixed,0.95,10000
8,motor,1.0,10000
9,motor,0.95,10000
10,motor,0.95,10000
11,motor,1.0,10000
12,motor,1.0,10000
13,motor,1.0,10000
14,motor,1.0,10000
15,motor,0.95,10000
16,mem,1.0,10000
17,mem,1.0,10000
18,mem,0.95,10000
19,mem,1.0,10000
20,mem,1.0,10000
21,mem,1.0,10000
22,mem,1.0,10000
23,mem,0.95,10000
0,mixed,0.95,15000
1,mixed,0.9,15000
2,mixed,1.0,15000
3,mixed,1.0,15000
4,mixed,1.0,15000
5,mixed,1.0,15000
6,mixed,1.0,15000
7,mixed,0.95,15000
8,motor,1.0,15000
9,motor,0.95,15000
10,motor,0.95,15000
11,motor,1.0,15000
12,motor,1.0,15000
13,motor,0.95,15000
14,motor,1.0,15000
15,motor,0.95,15000
16,mem,1.0,15000
17,mem,1.0,15000
18,mem,0.95,15000
19,mem,1.0,15000
20,mem,1.0,15000
21,mem,1.0,15000
22,mem,1.0,15000
23,mem,0.95,15000
0,mixed,0.95,20000
1,mixed,0.9,20000
2,mixed,1.0,20000
3,mixed,1.0,20000
4,mixed,1.0,20000
5,mixed,0.95,20000
6,mixed,1.0,20000
7,mixed,0.95,20000
8,motor,1.0,20000
9,motor,0.95,20000
10,motor,0.95,20000
11,motor,1.0,20000
12,motor,1.0,20000
13,motor,0.95,20000
14,motor,1.0,20000
15,motor,0.95,20000
16,mem,1.0,20000
17,mem,1.0,20000
18,mem,0.95,20000
19,mem,1.0,20000
20,mem,1.0,20000
21,mem,1.0,20000
22,mem,1.0,20000
23,mem,0.95,20000
0,mixed,0.95,30000
1,mixed,0.9,30000
2,mixed,1.0,30000
3,mixed,1.0,30000
4,mixed,1.0,30000
5,mixed,1.0,30000
6,mixed,1.0,30000
7,mixed,0.95,30000
8,motor,1.0,30000
9,motor,0.95,30000
10,motor,0.95,30000
11,motor,1.0,30000
12,motor,1.0,30000
13,motor,1.0,30000
14,motor,1.0,30000
15,motor,0.95,30000
16,mem,1.0,30000
17,mem,1.0,30000
18,mem,1.0,30000
19,mem,1.0,30000
20,mem,1.0,30000
21,mem,1.0,30000
22,mem,1.0,30000
23,mem,1.0,30000
0,mixed,0.95,40000
1,mixed,0.9,40000
2,mixed,1.0,40000
3,mixed,1.0,40000
4,mixed,1.0,40000
5,mixed,1.0,40000
6,mixed,1.0,40000
7,mixed,0.95,40000
8,motor,1.0,40000
9,motor,0.95,40000
10,motor,0.95,40000
11,motor,1.0,40000
12,motor,1.0,40000
13,motor,1.0,40000
14,motor,1.0,40000
15,motor,0.95,40000
16,mem,1.0,40000
17,mem,1.0,40000
18,mem,1.0,40000
19,mem,1.0,40000
20,mem,1.0,40000
21,mem,1.0,40000
22,mem,1.0,40000
23,mem,0.95,40000
0,mixed,0.95,50000
1,mixed,0.9,50000
2,mixed,1.0,50000
3,mixed,1.0,50000
4,mixed,1.0,50000
5,mixed,1.0,50000
6,mixed,1.0,50000
7,mixed,0.95,50000
8,motor,1.0,50000
9,motor,0.95,50000
10,motor,0.95,50000
11,motor,1.0,50000
12,motor,1.0,50000
13,motor,1.0,50000
14,motor,1.0,50000
15,motor,0.95,50000
16,mem,1.0,50000
17,mem,1.0,50000
18,mem,0.95,50000
19,mem,1.0,50000
20,mem,1.0,50000
21,mem,1.0,50000
22,mem,1.0,50000
23,mem,1.0,50000
